DID,SEID,SAFETY
D0001,S0001,NORMAL
D0001,S0009,HAZARD
D0001,S0002,NORMAL
D0001,S0003,NORMAL
D0001,S0006,NORMAL
D0001,S0005,NORMAL
D0001,S0013,HAZARD
D0001,S0021,HAZARD
D0001,S0023,HAZARD
D0001,S0022,HAZARD
D0001,S0024,HAZARD
D0002,S0003,NORMAL
D0002,S0010,NORMAL
D0002,S0011,NORMAL
D0002,S0004,NORMAL
D0002,S0006,NORMAL
D0002,S0012,NORMAL
D0002,S0025,NORMAL
D0002,S0014,HAZARD
D0002,S0007,HAZARD
D0002,S0013,HAZARD
D0003,S0003,NORMAL
D0003,S0006,NORMAL
D0003,S0016,NORMAL
D0003,S0004,NORMAL
D0003,S0002,NORMAL
D0003,S0015,NORMAL
D0003,S0018,HAZARD
D0003,S0014,HAZARD
D0003,S0017,HAZARD
